domain,name,city,state,clia_number,lab_type,test_volume
prioritytoxlab.com,PRIORITY TOXICOLOGY LABORATORIES,UNION CITY,GA,11D2108401,REFERENCE,12000
bdir.in,"DIAGNOSTIC DERMATOPATHOLOGY ASSOCIATES, LLC",COLUMBUS,GA,11D2108423,REFERENCE,10000
americanfoot.com,"AMERICAN FOOT & LEG SPECIALISTS, LLC",STOCKBRIDGE,GA,11D2114365,REFERENCE,4000
gi-north.com,GI NORTH PATHOLOGY LABORATORY,ALPHARETTA,GA,11D2280962,REFERENCE,1200
mybls.com,"BETTER LIFE SCIENCE, LLC",ALPHARETTA,GA,11D2282920,REFERENCE,4800
care.healthline.com,"SEBLE CHEKOLM, MD",ALPHARETTA,GA,11D2289796,REFERENCE,5136
health.hawaii.gov,HAWAII DEPT OF HEALTH,PEARL CITY,HI,12D0646259,REFERENCE,37001
surgicareofhawaii.com,CLINICAL LABS OF HAWAII-SURGICARE OF HAWAII,HONOLULU,HI,12D2043122,REFERENCE,4
wcchc.com,DIAGNOSTIC LABORATORY SERVICES-WCC CTR,WAIANAE,HI,12D2278175,REFERENCE,202896
healthandwelfare.idaho.gov,IDAHO BUREAU OF LABORATORIES,BOISE,ID,13D0646339,REFERENCE,6255
thepaindoc.net,SIPI CLINIC LLC DBA SOUTHERN IDAHO PAIN INSTITUTE,TWIN FALLS,ID,13D1105419,REFERENCE,67200
incytepathology.com,INCYTE PATHOLOGY - GOOD SAMARITAN HOSPITAL BRANCH,PUYALLUP,WA,50D2337480,REFERENCE,30000
raisethebottomidaho.com,RAISE THE BOTTOM TRAINING AND CONSELING SERVICES,BOISE,ID,13D2047419,REFERENCE,1696510
pcidf.com,PATHOLOGY SERVICES PC,POST FALLS,ID,13D2204921,REFERENCE,2000
idahogastro.com,IDAHO GASTROENTEROLOGY ASSOCIATES,NAMPA,ID,13D2224264,REFERENCE,33892
spekdiagnostics.com,SPEK DIAGNOSTICS,GARDEN CITY,ID,13D2272086,REFERENCE,30520
healixdiag.com,HEALIX DIAGNOSTICS,IDAHO FALLS,ID,13D2315547,REFERENCE,2050
deerfielddermatology.com,DEERFIELD DERMATOLOGY ASS,DEERFIELD,IL,14D0412127,REFERENCE,11700
chicago.gov,CHICAGO DEPT OF PUBLIC HLTH - AUSTIN STI CLINIC,CHICAGO,IL,14D0646583,REFERENCE,2750
dph.illinois.gov,ILLINOIS DEPARTMENT OF PUBLIC HEALTH -CHICAGO,CHICAGO,IL,14D0691828,REFERENCE,2894000
centercare.com,SEMANS DERMATOPATHOLOGY SERVICE,ROCHESTER,IL,14D0982952,REFERENCE,5115
qualitylabone.com,QUALITY LAB ONE,CHICAGO,IL,14D2006925,REFERENCE,28800
labexpresscorp.com,LAB EXPRESS CORPORATION,OAK LAWN,IL,14D2042184,REFERENCE,204212
citilabsinc.com,"CITILABS, INC",CHICAGO,IL,14D2056591,REFERENCE,165274
industrynet.com,M I LAB,LOMBARD,IL,14D2064071,REFERENCE,1844
mcwhc.com,MIDWEST CTR FOR WOMENS HEALTHCARE LAB,LIBERTYVILLE,IL,14D2093116,REFERENCE,4503
viosfertility.com,VIOS FERTILITY INSTITUTE CHICAGO WICKER PARK,CHICAGO,IL,14D2118892,REFERENCE,50830
heartteamllc.com,"HEART TEAM, LLC, THE",ELGIN,IL,14D2160986,REFERENCE,1800
rrclinicallab.com,R & R CLINICAL LAB INC,NAPERVILLE,IL,14D2209968,REFERENCE,9000
neelyx.com,NEELYX LABS,WOOD DALE,IL,14D2209971,REFERENCE,3000
labpathdx.com,LABORATORY & PATHOLOGY DIAGNOSTICS,NAPERVILLE,IL,14D2227207,REFERENCE,93211
alcdx.com,ALC DIAGNOSTICS LLC,DES PLAINES,IL,14D2228364,REFERENCE,1560
testitl.com,ILLINIOS TECH LABS INC,SKOKIE,IL,14D2253709,REFERENCE,41068
oakparklab.com,"OAK PARK LAB, LLC",OAK PARK,IL,14D2281361,REFERENCE,39
hqconsultinginc.com,HNQ CONSULTING INC,GLENVIEW,IL,14D2287780,REFERENCE,2795
138.68.39.23,FIRST BIO LAB OF ILLINOIS LLC,ARLINGTON HEIGHTS,IL,14D2292448,REFERENCE,6000
tiltonsolar.com,SOLARIS DX2 LLC,TILTON,IL,14D2310197,REFERENCE,1200
yafalab.com,YAFA MEDICAL LAB INC,OAK LAWN,IL,14D2312556,REFERENCE,500
oncooptima.com,ONCOOPTIMA INC,CHICAGO,IL,14D2321920,REFERENCE,500
vanderburghhealth.org,VANDERBURGH COUNTY HEALTH DEPARTMENT,EVANSVILLE,IN,15D0361375,REFERENCE,2741
health.elkhartcounty.com,ELKHART COUNTY HEALTH DEPT,ELKHART,IN,15D0687159,REFERENCE,1120
becklabs.com,BECK ANALYTICAL SERVICES LLC,GREENWOOD,IN,15D0857296,REFERENCE,12000
indigobridgelab.com,"INDIGOBRIDGE LABORATORIES, LLC",WEST LAFAYETTE,IN,15D2129713,REFERENCE,2167
scopedx.org,SCOPE DX LLC,INDIANAPOLIS,IN,15D2315802,REFERENCE,300
crossmedicallabs.com,CROSS MEDICAL LABORATORIES LLP,IOWA CITY,IA,16D0386471,REFERENCE,900
siouxlanddistricthealth.org,SIOUXLAND DISTRICT HEALTH DEPARTMENT,SIOUX CITY,IA,16D0648020,REFERENCE,3325
polkcountyiowa.gov,POLK COUNTY HEALTH DEPARTMENT,DES MOINES,IA,16D0667028,REFERENCE,10380
sunnybrookmedicalplaza.net,UPH LABORATORY SUNNYBROOK MEDICAL PLAZA,SIOUX CITY,IA,16D2061430,REFERENCE,200008
welandlaboratories.com,"WELAND CLINICAL LABORATORIES, PC",WATERLOO,IA,16D2171828,REFERENCE,175
cdio.ai,"CARDIO DIAGNOSTICS, INC",IOWA CITY,IA,16D2331364,REFERENCE,1000
kdheks.gov,KANSAS HEALTH AND ENVIRONMENTAL LABORATORY,TOPEKA,KS,17D0648254,REFERENCE,309247
salinecountyks.gov,SALINE COUNTY HEALTH DEPARTMENT,SALINA,KS,17D0648346,REFERENCE,125
wpmpath.com,WPM PATHOLOGY LABORATORY CHRTD-VALLEY CENTER,VALLEY CENTER,KS,17D2273617,REFERENCE,11000
chamberdata.net,PH ENTERPRISES INC DBA MAG-LAB,PITTSBURG,KS,17D0901100,REFERENCE,335600
heartlandpathology.com,"HEARTLAND PATHOLOGY DIAGNOSTICS, LLC",WICHITA,KS,17D2093824,REFERENCE,407303
mpapath.com,"MIDWEST PATHOLOGY ASSOCIATES, LLC",OVERLAND PARK,KS,17D2227386,REFERENCE,474
kcpathology.com,"KC PATHOLOGY, PA",OVERLAND PARK,KS,17D2315013,REFERENCE,8000
louisvilleky.gov,LOUISVILLE METRO HEALTH DEPT LABORATORY,LOUISVILLE,KY,18D0321506,REFERENCE,34224
baptisthealthdeaconess.com,BAPTIST HEALTH DEACONESS MEDICAL GROUP,POWDERLY,KY,18D0326452,REFERENCE,179235
arh.org,APPALACHIAN REGIONAL HEALTHCARE REFERENCE,HAZARD,KY,18D0648509,REFERENCE,243857
familydermky.com,FAMILY DERMATOLOGY,LOUISVILLE,KY,18D0931856,REFERENCE,20000
owensboromedical.com,OWENSBORO MEDICAL PRACTICE LABORATORY,OWENSBORO,KY,18D0989820,REFERENCE,191397
thecleanseclinic.com,CLEANSE CLINIC PSC,LOUISVILLE,KY,18D2120455,REFERENCE,4088
coastalbiotech.com,"HC SYSTEMS, LLC D/B/A COASTAL BIOTECH",LEXINGTON,KY,18D2169907,REFERENCE,250000
pathways-ky.org,"DBC PATH, LLC",LEXINGTON,KY,18D2211096,REFERENCE,1000
thrpediatrics.com,THR PEDIATRICS & WELLNESS CENTER,LOUISVILLE,KY,18D2227310,REFERENCE,1500
cardinaltechnologyky.com,CARDINAL LABS,LOUISVILLE,KY,18D2289947,REFERENCE,35000
rgdiagnostics.us,"RG DIAGNOSTICS, LLC",JACKSON,KY,18D2304762,REFERENCE,90000
ldh.la.gov,LOUISIANA OFFICE OF PUBLIC HEALTH LABORATORY,BATON ROUGE,LA,19D0663536,REFERENCE,1508262
picksie.com,"PATHOLOGY LABORATORY, INC, THE",LAFAYETTE,LA,19D2018531,REFERENCE,1366
labcorp-locations.com,LABORATORY CORPORATION OF AMERICA HOLDINGS,NATCHITOCHES,LA,19D2170632,REFERENCE,25800
resolvemdx.com,RESOLVE MOLECULAR DIAGNOSTICS LLC,METAIRIE,LA,19D2237355,REFERENCE,9500
orion.healthcare,ORION LABORATORIES,BATON ROUGE,LA,19D2296523,REFERENCE,64160
lakecrescenthealth.com,LAKE CRESCENT HEALTH LLC,BATON ROUGE,LA,19D2330525,REFERENCE,0
pathologyassociates.net,PATHOLOGY ASSOCIATES LABORATORIES PC,BALTIMORE,MD,21D0219659,REFERENCE,22033
gmoralsurgery.com,ORAL PATHOLOGY SERVICES,GAITHERSBURG,MD,21D0941021,REFERENCE,1600
frederick.cancer.gov,MOLECULAR CHARACTERIZATION LABORATORY,FREDERICK,MD,21D2097127,REFERENCE,500
ghedinlab.org,LABORATORY OF PARASITIC DISEASES,BETHESDA,MD,21D0957207,REFERENCE,650
bdlab.com,CAPITOL DERMATOPATHOLOGY LLC,BETHESDA,MD,21D1099518,REFERENCE,9000
grcf.jhmi.edu,JOHNS HOPKINS BIOLOGICAL REPOSITORY,BALTIMORE,MD,21D2004577,REFERENCE,400
capitaldxlab.com,CAPITAL DIAGNOSTICS,LAUREL,MD,21D2076584,REFERENCE,21000
ctrlabs.com,"CHESAPEAKE TOXICOLOGY RESOURCES, LLC",FREDERICK,MD,21D2105193,REFERENCE,262500
synapsdx.com,"NEURODIAGNOSTICS, INC, DBA SYNAPS DX",ROCKVILLE,MD,21D2130277,REFERENCE,1250
labrxpartners.com,LAB RX LLC,FREDERICK,MD,21D2138383,REFERENCE,250000
newdiscoverylabs.com,NEW DISCOVERY LABORATORIES,BALTIMORE,MD,21D2196263,REFERENCE,500
minomic.com,MINOMIC INC,GAITHERSBURG,MD,21D2255627,REFERENCE,3000
haystackoncology.com,"HAYSTACK ONCOLOGY, INC",BALTIMORE,MD,21D2278691,REFERENCE,200
pathtoreading.com,PATH READS LLC,ELLICOTT CITY,MD,21D2310132,REFERENCE,5000
bedsider.org,DRUID FAMILY PLANNING CLINIC,BALTIMORE,MD,21D2332152,REFERENCE,0
massgeneralbrigham.org,MGB PATHOLOGY - PMA LAB,HAVERHILL,MA,22D0071593,REFERENCE,1388814
skinpathlab.com,SKIN PATHOLOGY LABORATORY INC,BOSTON,MA,22D0075241,REFERENCE,12279
alletess.co,ALLETESS MEDICAL LABORATORY,ROCKLAND,MA,22D0080258,REFERENCE,4649198
mass.gov,MASSACHUSETTS DEPARTMENT OF PUBLIC HEALTH,JAMAICA PLAIN,MA,22D0650270,REFERENCE,243607
apderm.com,ADULT & PEDIATRIC DERMATOLOGY PC,CONCORD,MA,22D2084929,REFERENCE,47266
nensp.umassmed.edu,NEW ENGLAND NEWBORN SCREENING PROGRAM,WORCESTER,MA,22D0935548,REFERENCE,5474388
dermatopathologyconsultations.com,DERMATOPATHOLOGY CONSULTATIONS LLC,BURLINGTON,MA,22D1049112,REFERENCE,3925
clsdiagnostics.com,CLS DIAGNOSTICS,FRANKLIN,MA,22D2048596,REFERENCE,347921
sbhdiagnostics.com,SBH DIAGNOSTICS INC,NATICK,MA,22D2060724,REFERENCE,70
stvincenthospital.com,LABCORP AT ST VINCENT CANCER & WELLNESS,WORCESTER,MA,22D2061396,REFERENCE,57288
beaconpathology.com,BEACON PATHOLOGY LLC,DOVER,MA,22D2063384,REFERENCE,510
microbiologydx.com,"MICROBIOLOGY DX, INC",BEDFORD,MA,22D2089996,REFERENCE,44245
kuchnirdermatology.com,KUCHNIR DERMATOLOGY & DERMATOLOGIC SURGERY,MARLBOROUGH,MA,22D2149497,REFERENCE,337
ethos-labs.com,ETHOS LABORATORIES,WORCESTER,MA,22D2216336,REFERENCE,210482
progenedx.com,PROGENE DX LLC,BEDFORD,MA,22D2259522,REFERENCE,99900
northeast.canventa.com,CANVENTA NORTHEAST,MANSFIELD,MA,22D2263016,REFERENCE,9000
genomicexpression.com,GENOMICS INC,BEVERLY,MA,22D2290518,REFERENCE,8000
saginawpublichealth.org,SAGINAW COUNTY HEALTH DEPARTMENT,SAGINAW,MI,23D0876614,REFERENCE,3296
forensicfluids.com,FORENSIC FLUIDS LABORATORIES INC,KALAMAZOO,MI,23D1045429,REFERENCE,330000
westernslopelabs.com,WESTERN SLOPE LABORATORY,TROY,MI,23D1047507,REFERENCE,10000
glmlinc.com,GREAT LAKES MEDICAL LABORATORIES INC,DEARBORN,MI,23D2028847,REFERENCE,1011
fhgov.com,"AMERATHON, LLC",FARMINGTON HILLS,MI,23D2045786,REFERENCE,150050
dirpath.com,"DIRECT PATH SERVICES, P C",BINGHAM FARMS,MI,23D2063166,REFERENCE,47894
dermpathlab.com,DERMATOPATHOLOGY LABORATORY OF CENTRAL STATES,CLINTON TOWNSHIP,MI,23D2210534,REFERENCE,16800
horizonlaboratory.com,HORIZON HEALTH LABS,CLINTON TOWNSHIP,MI,23D2313128,REFERENCE,24440
northernglowmidwifery.com,NORTHERN GLOW MIDWIFERY,TRAVERSE CITY,MI,23D2336319,REFERENCE,0
crplhome.com,CENTRAL REGIONAL PATHOLOGY LABORATORIES,MAPLEWOOD,MN,24D0651212,REFERENCE,30661
rsilaboratories.org,RSI LABORATORIES,MINNEAPOLIS,MN,24D0882916,REFERENCE,41728
hennepinems.org,HENNEPIN HEALTHCARE-EMS-COMMUNITY PARAMEDICS,MINNEAPOLIS,MN,24D0939682,REFERENCE,1500
mmlaboratoryservices.com,MMS LAB SERVICES,BURNSVILLE,MN,24D2085776,REFERENCE,32316
nationaldatasearch.com,SARIKA GUPTA MBBS,ROCHESTER,MN,24D2289242,REFERENCE,3450
phghouston.com,PROGRESSIVE HEALTH OF HOUSTON,HOUSTON,MS,25D0029591,REFERENCE,87318
medicarelist.com,GORTON LAB & XRAY,BELZONI,MS,25D0317334,REFERENCE,23700
msdh.ms.gov,MISSISSIPPI PUBLIC HEALTH LABORATORY,JACKSON,MS,25D1096223,REFERENCE,409197
medplus.care,"MEDPLUS URGENT CLINIC, LLC",TUPELO,MS,25D2099996,REFERENCE,73405
labsvcs.com,LSP SOUTHEAST LLC,BAY SAINT LOUIS,MS,25D2277825,REFERENCE,18283
compdxlab.com,COMPLETE DIAGNOSTIC LABORATORIES,SOUTHAVEN,MS,25D2290782,REFERENCE,727688
mscrd.org,DELTA PUBLIC HEALTH REGION,GREENWOOD,MS,25D2316910,REFERENCE,0
kcmo.gov,"KANSAS CITY, MO HEALTH DEPARTMENT",KANSAS CITY,MO,26D0668350,REFERENCE,6439
health.springfieldmo.gov,SPRINGFIELD-GREENE COUNTY HEALTH DEPARTMENT,SPRINGFIELD,MO,26D0702889,REFERENCE,10000
slucare.com,SLUCARE PHYSICIAN GROUP DERM MOHS CSM,SAINT LOUIS,MO,26D0872684,REFERENCE,1478
wcadems.org,WASHINGTON COUNTY AMBULANCE DISTRICT,MINERAL POINT,MO,26D0921146,REFERENCE,600
slu.edu,SAINT LOUIS UNIVERSITY CENTER FOR VACCINE,SAINT LOUIS,MO,26D2022337,REFERENCE,250
alphamedicallab.com,ALPHA MEDICAL LABORATORY,NIXA,MO,26D2293206,REFERENCE,2000
417plasticsurgery.com,PLASTIC SURGERY RACING LLC,SPRINGFIELD,MO,26D2310298,REFERENCE,100
vistamd.com,VISTA DERMATOLOGY,ST. LOUIS,MO,26D2336207,REFERENCE,0
westernmontanaclinic.com,WESTERN MONTANA CLINIC MOHS LAB,MISSOULA,MT,27D2107786,REFERENCE,2740
bigskylaboratory.com,BIG SKY LABORATORY,GREAT FALLS,MT,27D2095592,REFERENCE,63918
pcwmt.com,WESTERN MONTANA CLINIC PATHOLOGY,MISSOULA,MT,27D2107905,REFERENCE,18484
saintpaulvi.com,SAINT PAUL VI INSTITUTE NATIONAL WOMEN'S,OMAHA,NE,28D0453756,REFERENCE,8000
lincoln.ne.gov,LINCOLN-LANCASTER COUNTY HEALTH DEPARTMENT,LINCOLN,NE,28D0674817,REFERENCE,440
geneseek.com,NEOGEN GENESEEK OPERATIONS,LINCOLN,NE,28D2165782,REFERENCE,100
wplab.com,"WP LABORATORIES, LLC",MCCOOK,NE,28D2190576,REFERENCE,162000
summitpathology.com,SUMMIT PATHOLOGY,CASPER,WY,53D2288216,REFERENCE,603
fpst.org,FALLON PAIUTE-SHOSHONE TRIBE,FALLON,NV,29D0706920,REFERENCE,1500
lvscc.com,LAS VEGAS SKIN AND CANCER CLINICS-WARM SPRINGS,LAS VEGAS,NV,29D2028995,REFERENCE,588
ddslasvegas.com,DIGESTIVE DISEASE SPECIALIST,LAS VEGAS,NV,29D2026907,REFERENCE,6000
labdraw.com,EXELLABS LLC,LAS VEGAS,NV,29D2099729,REFERENCE,260232
aslvegas.com,"AMERICAN SPECIALTY LAB, LLC",LAS VEGAS,NV,29D2102809,REFERENCE,1345113
relentlesshealth.com,RELENTLESS HEALTH,RENO,NV,29D2302788,REFERENCE,5000
dhhs.nh.gov,NEW HAMPSHIRE PUBLIC HEALTH LAB,CONCORD,NH,30D0652812,REFERENCE,46608
ocmedlab.com,"DIOSDADO NON MEDICAL SERVICES, LLC",BRICK,NJ,31D0122897,REFERENCE,10000
carestationmedical.com,CARE STATION MEDICAL GROUP,LINDEN,NJ,31D0876565,REFERENCE,1768
ewingnj.org,PUBLIC HEALTH AND ENVIRONMENTAL,EWING,NJ,31D0881184,REFERENCE,4604085
premierlab.info,RNJ SERVICES INC,EDISON,NJ,31D0894713,REFERENCE,68760
wadsworth.org,WADSWORTH CENTER - DAVID AXELROD INSTITUTE,ALBANY,NY,33D2005937,REFERENCE,15403068
hub.biz,OFIS LABS INC,ENGLEWOOD,NJ,31D2056990,REFERENCE,12000
biogenicalabs.com,BIOGENICA LABORATORIES LLC,ELMWOOD PARK,NJ,31D2063148,REFERENCE,9000
ridgewoodlab.com,RIDGEWOOD DIAGNOSTIC LABORATORY,HACKENSACK,NJ,31D2109691,REFERENCE,34210
qlslabs.com,"APOLLO CLINICAL LABORATORIES, INC",UNION,NJ,31D2114374,REFERENCE,2500
reliancediagnosticslab.com,RELIANCE DIAGNOSTICS,FAIRFIELD,NJ,31D2119781,REFERENCE,1620
xpressdx.com,XPRESSDX,SADDLE BROOK,NJ,31D2240655,REFERENCE,100
amedixlaboratory.com,AMEDIX DIAGNOSTIC,LITTLE FALLS,NJ,31D2263712,REFERENCE,1500
dermpathdiagnostics.com,INSTITUTE FOR DERMATOPATHOLOGY INC,FLOURTOWN,PA,39D2290587,REFERENCE,30000
healthlynked.com,CALVIN STRAND,JERSEY CITY,NJ,31D2283079,REFERENCE,6000
colfaxhealth.org,COLFAX GENERAL LABORATORY,SPRINGER,NM,32D0536885,REFERENCE,1875
pcnm.com,PATHOLOGY CONSULTANTS OF NEW MEXICO,LAS CRUCES,NM,32D2125074,REFERENCE,79822
nmhealth.org,RUIDOSO PUBLIC HEALTH OFFICE,RUIDOSO,NM,32D2325305,REFERENCE,0
vaccinenm.org,DOH - MOBILE UNITS,ALBUQUERQUE,NM,32D2338856,REFERENCE,0
centurymedicaldental.com,"CENTURY MEDICAL AND DENTAL CENTER, INC",BROOKLYN,NY,33D2319880,REFERENCE,3
bioreference.com,"BIOREFERENCE HEALTH, LLC",SPRING VALLEY,NY,33D2324066,REFERENCE,3
gastrocareli.com,GASTROCARE LI,VALLEY STREAM,NY,33D2325020,REFERENCE,1
medpathdiagnosticlab.com,"MEDPATH DIAGNOSTICS, INC",MEDFORD,NY,33D2326528,REFERENCE,1
wnyig.com,WESTERN NEW YORK DIAGNOSTICS LLC,BUFFALO,NY,33D2337802,REFERENCE,1
ccobgyn.com,CENTRAL CAROLINA OB-GYN,GREENSBORO,NC,34D0239261,REFERENCE,2693
scotlandcounty.org,SCOTLAND COUNTY HEALTH AND HUMAN SERVICES,LAURINBURG,NC,34D0691493,REFERENCE,10853
slph.dph.ncdhhs.gov,NC STATE LABORATORY OF PUBLIC HEALTH,RALEIGH,NC,34D0692393,REFERENCE,2477944
clevelandcountyhdnc.com,CLEVELAND COUNTY HEALTH DEPARTMENT,SHELBY,NC,34D0692719,REFERENCE,12527
pittcountync.gov,NORTH CAROLINA COUNTY HEALTH DEPT - AREA D,GREENVILLE,NC,34D0865324,REFERENCE,32040
madisoncountyhealth.org,NC COUNTY HEALTH DEPARTMENT - AREA A,MARSHALL,NC,34D0865328,REFERENCE,5125
rockinghamcountync.gov,NORTH CAROLINA COUNTY HEALTH DEPARTMENT AREA B,REIDSVILLE,NC,34D0865330,REFERENCE,17626
celligent.net,CELLIGENT DIAGNOSTICS - ATRIUM HEALTH,CHARLOTTE,NC,34D2305694,REFERENCE,2300
pdlpath.com,"PATHOLOGISTS DIAGNOSTIC LABORATORY, PA",CONCORD,NC,34D2267316,REFERENCE,33998
iredellcountync.gov,IREDELL COUNTY HEALTH DEPARTMENT,MOORESVILLE,NC,34D1092232,REFERENCE,410
gso.select-labs.com,"SELECT REFERENCE LABORATORIES, LLC",GREENSBORO,NC,34D2091857,REFERENCE,55800
web.aphl.org,LACAR US INC,DURHAM,NC,34D2155110,REFERENCE,500
asaplabsandcare.com,"ASAP LABS AND CARE, LLC",GREENSBORO,NC,34D2205647,REFERENCE,6000
invitrox.com,"INVITROX, INC",RESEARCH TRIANGLE PARK,NC,34D2222817,REFERENCE,5000
newvisiontherapy.org,NEW VISION THERAPY LLC LAB,GREENSBORO,NC,34D2235281,REFERENCE,65584
easternlabassociates.com,"EASTERN LABORATORY ASSOCIATES, LLC",GREENVILLE,NC,34D2264897,REFERENCE,10000
excelmedicallabs.com,"AEMA LABS, INC DBA EXCEL MEDICAL LABS",MOORESVILLE,NC,34D2273388,REFERENCE,56600
wilmingtonpathology.com,"WILMINGTON PATHOLOGY ASSOCIATES, PA",WILMINGTON,NC,34D2281778,REFERENCE,39395
yanceycountync.gov,YANCEY COUNTY HEALTH DEPARTMENT,BURNSVILLE,NC,34D2284096,REFERENCE,15
pathassocnc.com,PATHOLOGY ASSOCIATES OF NORTH CAROLINA,WINSTON-SALEM,NC,34D2317148,REFERENCE,90000
hhs.nd.gov,ND DEPARTMENT OF HEALTH & HUMAN SERVICES,BISMARCK,ND,35D0691722,REFERENCE,295455
openskylaboratory.com,"PATHOLOGY CONSULTANTS, PC  DBA OPEN SKY LABORATORY",WEST FARGO,ND,35D2303413,REFERENCE,13755
graceandgratitudewellness.com,GRACE AND GRATITUDE WELLNESS PLLC,DEVILS LAKE,ND,35D2320023,REFERENCE,0
lucascountyhealth.com,LUCAS COUNTY REGIONAL HEALTH DISTRICT,TOLEDO,OH,36D0674771,REFERENCE,385
healthyskinmd.com,ASSOCIATES IN DERMATOLOGY INC,MIDDLEBURG HEIGHTS,OH,36D0987996,REFERENCE,1206
nationwidehistology.com,WEST CENTRAL OHIO HISTOLOGY LLC,LIMA,OH,36D2058199,REFERENCE,2400
gnomesciences.com,GNOME SCIENCES,POWELL,OH,36D2068194,REFERENCE,10
americandermpath.com,"AMERICAN DERMATOPATHOLOGY LABORATORY, LLC",CENTERVILLE,OH,36D2072045,REFERENCE,43511
beta.npiviewer.com,"BAYLESS PATHMARK, INC",MIDDLEBURG HEIGHTS,OH,36D2169800,REFERENCE,2500
midwestrecoverycenter.com,"MIDWEST RECOVERY CENTER, LLC",TOLEDO,OH,36D2220842,REFERENCE,320000
uhairmed.org,UNIVERSITY HOSPITALS CRITICAL CARE TRANSPORT LLC,CHARDON,OH,36D2303734,REFERENCE,1400
dentistry.osu.edu,"KRISTIN MCNAMARA, DDS, LLC",COLUMBUS,OH,36D2323137,REFERENCE,4000
osagenation-nsn.gov,WAH-ZHA-ZHI HEALTH CENTER,PAWHUSKA,OK,37D0050835,REFERENCE,13522
tulsacps.com,CLINICAL PERFUSION SYSTEMS,TULSA,OK,37D0931677,REFERENCE,12500
premierplusurgentcare.com,PREMIER PLUS URGENT CARE,YUKON,OK,37D2109478,REFERENCE,55000
nbmchealth.com,NORTH BEND MEDICAL CENTER,COOS BAY,OR,38D0627047,REFERENCE,1101201
curryhealthnetwork.com,CURRY MEDICAL CENTER LABORATORY,BROOKINGS,OR,38D0963720,REFERENCE,243429
assuritytesting.com,ASSURE DRUG DETECTION LLC,LA GRANDE,OR,38D2039090,REFERENCE,55000
eugene-or.gov,IP EUGENE 1,EUGENE,OR,38D2060212,REFERENCE,59433
vistapathology.com,VISTA PATHOLOGY LABORATORY LLC,MEDFORD,OR,38D2096241,REFERENCE,4700
sironadx.com,SIRONA DX INC,PORTLAND,OR,38D2143031,REFERENCE,20
hplaboratory.com,HIGH PRECISION LABORATORY INC,PORTLAND,OR,38D2315693,REFERENCE,5000
ppcp.org,PREFERRED PRIMARY CARE PHYSICIANS INC,CARNEGIE,PA,39D0179913,REFERENCE,608
city.pottsville.pa.us,GMG POTTSVILLE,POTTSVILLE,PA,39D0189568,REFERENCE,127865
dermpath.upmc.edu,UPMC DERMATOPATHOLOGY LAB,PITTSBURGH,PA,39D0657006,REFERENCE,5100
dom.pitt.edu,"INFECTIOUS DISEASE LABORATORIES, UNIV OF PITTS",PITTSBURGH,PA,39D1010503,REFERENCE,450
pa.gov,PA DEPT OF HEALTH BUREAU OF LABS,EXTON,PA,39D0709453,REFERENCE,64219
pittcorelab.com,CORE LABORATORY,PITTSBURGH,PA,39D0928351,REFERENCE,10000
lancasterskincenter.com,LANCASTER SKIN CENTER PC,LANCASTER,PA,39D0931167,REFERENCE,490
arthritisofreading.com,ARTHRITIS & OSTEOPOROSIS CENTER INC,WYOMISSING,PA,39D0952961,REFERENCE,16253
azizkhaninternalmedicine.com,AZIZKHAN INTERNAL MEDICINE ASSOCIATES,CAMP HILL,PA,39D0978140,REFERENCE,475
drbaldassano.com,BALDASSANO DERMATOPATHOLOGY PC,LOWER GWYNEDD,PA,39D1041216,REFERENCE,3000
contractlaboratory.com,ATLANTIC DERMATOPATHOLOGY LLC,LESTER,PA,39D1072929,REFERENCE,7500
stgeorgeslab.com,ST GEORGE'S LAB,JOHNSTOWN,PA,39D1097101,REFERENCE,281891
helomics.com,HELOMICS CORPORATION,PITTSBURGH,PA,39D2008853,REFERENCE,49910
phoenixvillevalleyforgedermatology.com,PHOENIXVILLE VALLEY FORGE DERMATOLOGY ASSOC,PHOENIXVILLE,PA,39D2076698,REFERENCE,151
primbioresearch.com,"PRIMBIO RESEARCH INSTITUTE, LLC",GARNET VALLEY,PA,39D2085645,REFERENCE,5500
arielmedicine.com,ARIEL PRECISION MEDICINE INC,PITTSBURGH,PA,39D2126563,REFERENCE,500
associatedclinicallabs.com,LABORATORY ASSOCIATES OF ERIE LLC,ERIE,PA,39D2135920,REFERENCE,1800
centerem.org,"CENTER FOR EMERGENCY MEDICINE OF WESTERN PA, INC",WEST MIFFLIN,PA,39D2142578,REFERENCE,1200
csidx.com,"CONTAMINATION SOURCE IDENTIFICATION, LLC",HUNTINGDON,PA,39D2180522,REFERENCE,5000
rdlconsultingllc.com,"RDL CONSULTING, LLC",BETHLEHEM,PA,39D2251137,REFERENCE,2000
advancedgenomicsinc.com,ADVANCED GENOMICS,FEASTERVILLE TREVOSE,PA,39D2262818,REFERENCE,5000
prescientlabservices.com,PRESCIENT LAB SERVICES,HERSHEY,PA,39D2320997,REFERENCE,100
chp.edu,ACHD CLINICAL SERVICES,PITTSBURGH,PA,39D2321933,REFERENCE,0
laboratoriospr.com,LABORATORIO CLINICO FABINAEL,AGUADILLA,PR,40D1038041,REFERENCE,3420
milaboratoriopr.com,"LABORATORIO CLINICO IRIZARRY GUASCH, INC SABANA GR",SABANA GRANDE,PR,40D2236715,REFERENCE,5185
