src,name,city,state,zip,clia,domain,exa_top_url
RU,ATLANTIC MEDICAL ONCOLOGY,SPARTA,NJ,07871,31D2093926,atlantichealth.org,https://www.atlantichealth.org/locations/sparta-health-wellness/medical-oncology-physician-practice
RU,"VANGUARD MEDICAL, PA",DENVILLE,NJ,07834,31D2155829,vanguardmedgroup.com,https://vanguardmedgroup.com/contact/denville-office/
RU,REPRODUCTIVE MEDICINE ASSOCIATES,SPRINGFIELD,NJ,07081,31D2122628,rmanetwork.com,https://rmanetwork.com/our-locations/rma-new-jersey/springfield-nj/
RU,ETHEL DIAGNOSTIC LABORATORY,EDISON,NJ,08817,31D2140887,ehealthscores.com,https://npidb.org/organizations/allopathic_osteopathic_physicians/anatomic-pathology_207zp0101x/1437704905.aspx
RU,P AND S MEDICAL GROUP LLC,BRIDGEWATER,NJ,08807,31D2281954,psmedgroup.com,https://psmedgroup.com/
RU,ATLANTIC MEDICAL GROUP - DBA ACOHA-NJ,WEST ORANGE,NJ,07052,31D2133984,atlantichealth.org,https://www.atlantichealth.org/locations/741-northfield-avenue-west-orange/hematology-oncology-physician-practice
RU,PREMIER LABORATORIES,WOOD-RIDGE,NJ,07075,31D2197504,whereorg.com,https://www.mapquest.com/us/new-jersey/premier-laboratories-llc-776715258
RU,AMEDIX DIAGNOSTIC,LITTLE FALLS,NJ,07424,31D2263712,amedixlaboratory.com,https://amedixlaboratory.com/
RU,MANHATTAN INTERNAL MEDICINE ASSOCIATES PC,NEW YORK,NY,10016,33D0130701,manhattanmedicine.net,https://www.manhattanmedicine.net/
RU,"JOURNEY TO WELLNESS, INC",PERTH AMBOY,NJ,08861,31D2303983,treatmentnj.net,https://treatmentnj.net/
RU,"ORBUCH BRAND DERMATOLOGY ASSOCIATES, LLP",BETHPAGE,NY,11714,33D0156337,npino.org,https://www.npino.org/npi/orbuch-brand-dermatology-associates-llp-1992785117.html
RU,ATLANTIC DERMATOLOGIC ASSOCIATES LLP,BROOKLYN,NY,11234,33D0147899,atlanticderm.com,https://atlanticderm.com/
RU,WOODMERE MEDICAL ASSOCIATES,WOODMERE,NY,11598,33D0155533,manninghammedicalcentre.com.au,https://doctor.webmd.com/practice/woodmere-medical-associates-30be68c8-4703-e211-a42b-001f29e3eb44
RU,SULLIVAN INTERNAL MEDICAL GROUP PC,MONTICELLO,NY,12701,33D0164352,middletownmedical.com,https://npiregistry.cms.hhs.gov/provider-view/1841295474
RU,MONMOUTH MEDICAL CENTER VANTAGE POINT,WEST LONG BRANCH,NJ,07764,31D2157832,rwjbh.org,https://www.rwjbh.org/our-locations/outpatient-rehab-center/monmouth-medical-center-outpatient-infusion-cent/
RU,NORTH SHORE HEMATOLOGY ONCOLOGY ASSOCIATES PC,PORT JEFFERSON STATION,NY,11776,33D0159503,ny.hospitals-usa.org,https://ny.hospitals-usa.org/item/north-shore-hematology-oncology-associates-pc/directions/
RU,WESTCHESTER MEDICAL GROUP PLLC,WHITE PLAINS,NY,10604,33D0669333,summithealth.com,https://www.summithealth.com/locations/white-plains-210-westchester-avenue
RU,OPTUM MEDICAL CARE PC,SYOSSET,NY,11791,33D0667934,east.optum.com,https://east.optum.com/locations/primary-care-syosset/
RU,OPTUM MEDICAL CARE PC,ROCKVILLE CENTRE,NY,11570,33D0671012,optum.com,https://www.optum.com/en/care/locations/optum-new-york.html
RU,WESTCHESTER MEDICAL GROUP PLLC,YONKERS,NY,10710,33D0140385,dayofdifference.org.au,https://dayofdifference.org.au/w-medical/westchester-medical-group-yonkers.html
RU,HORIZON MEDICAL GROUP PC,CHESTER,NY,10918,33D0141290,horizonfamilymedical.com,https://ourhealthnetwork.com/group-practice/horizon-medical-group-pc-chester-ny-6103715529
RU,LONG ISLAND PULMONARY ASSOCIATES PC,GARDEN CITY,NY,11530,33D0689665,longislandpulmonarydoctors.com,https://local.yahoo.com/info-230853030-sakowitz-mervin-long-island-pulmonary-associates-pc-garden-city/
RU,PEDIATRIC ASSOCIATES,HOLBROOK,NY,11741,33D0711068,pediatricassociates.com,https://www.pediatricassociates.com/contact-us
RU,PEDIATRIC ASSOCIATES OF PLAINVIEW LLP,HICKSVILLE,NY,11801,33D0963261,pedsofplainview.com,https://pedsofplainview.com/
RU,KIDS CARE PEDIATRIC ASSOCIATES PC,ELMONT,NY,11003,33D0674937,kids-care.com,https://kids-care.com/
RU,SEVENTY SECOND STREET MEDICAL ASSOCIATES PC,NEW YORK,NY,10021,33D0890124,72medical.com,https://72medical.com/
RU,"NORTH SHORE HEMATOLOGY-ONCOLOGY ASSOCIATES, PC",EAST ISLIP,NY,11730,33D0926424,ny.hospitals-usa.org,https://opennpi.com/provider/1669334959
RU,GREAT NECK PEDIATRIC ASSOCIATES PC,GREAT NECK,NY,11023,33D0143291,greatneckpeds.com,https://www.greatneckpeds.com/
RU,BUFFALO MEDICAL GROUP,WILLIAMSVILLE,NY,14221,33D0950892,buffalomedicalgroup.com,https://www.buffalomedicalgroup.com/
RU,WOMEN'S WELLNESS PLACE PC,SYRACUSE,NY,13210,33D0906328,thewomenswellnessplace.com,https://www.thewomenswellnessplace.com/
RU,ENDO ASSOCIATES OF STATEN ISLAND,STATEN ISLAND,NY,10306,33D0897210,vitadox.com,https://npidb.org/organizations/allopathic_osteopathic_physicians/anesthesiology_207l00000x/1518107283.aspx
RU,NORTH SHORE HEMATOLOGY ONCOLOGY ASSOCIATES,BRONX,NY,10469,33D0906022,nshoa.com,http://www.nshoa.com/about
RU,ATLANTIC DERMATOLOGIC ASSOCIATES LLP,LYNBROOK,NY,11563,33D0948973,atlanticderm.com,https://www.atlanticderm.com/contact.html
RU,NY CARDIOLOGY ASSOCIATES PC,NEW YORK,NY,10065,33D0886395,newyorkcardiologyassoc.com,https://newyorkcardiologyassoc.com/
RU,"DIGESTIVE HEALTHCARE ASSOCIATES, PC",GREAT NECK,NY,11023,33D0868204,digestivehealthcareassociates.com,https://digestivehealthcareassociates.com/
RU,BUFFALO MEDICAL GROUP PC,ORCHARD PARK,NY,14127,33D0954485,buffalomedicalgroup.com,https://www.buffalomedicalgroup.com/
RU,"PEDIATRIC ASSOCIATES OF NYC, PC",BROOKLYN,NY,11238,33D0967649,pediatricassociatesnyc.com,https://www.pediatricassociatesnyc.com/
RU,WESTCHESTER MEDICAL GROUP PLLC,RYE,NY,10580,33D0994912,summithealth.com,https://www.summithealth.com/locations/rye-1-theall-road
RU,INNA GORDIN MEDICAL PC,BROOKLYN,NY,11223,33D0999154,doctorgordin.com,https://doctorgordin.com/
RU,LYUDMILA SVERKUNOVA MEDICAL PC,BROOKLYN,NY,11229,33D1049273,2findlocal.com,https://npino.com/pediatric-clinic/1548920424-sverkunova-lyudmila-medical-p.c./
RU,LIFE LONG MEDICAL PC,BROOKLYN,NY,11229,33D1004384,lifelongmedical.org,https://lifelongmedical.org/
RU,WESTCHESTER MEDICAL GROUP PLLC,NEW ROCHELLE,NY,10801,33D1001304,dayofdifference.org.au,https://ourhealthnetwork.com/group-practice/westchester-medical-group-pc-new-rochelle-ny-6406752963
RU,BEST WOMENS MEDICAL CARE PC,BROOKLYN,NY,11235,33D1017139,brooklynabortionclinic.nyc,https://www.brooklynabortionclinic.nyc/some-information-about-bwmc-and-who-we-are/
RU,KAKOSSIAN MEDICAL WOMAN CARE PC,BROOKLYN,NY,11235,33D0994451,obgyncosmetic.com,https://www.mapquest.com/us/new-york/kakossian-medical-womens-care-262624280
RU,BB MEDICAL & DERMATOLOGY INC PC,KINGSTON,NY,12401,33D1013783,everydayhealth.care,https://npidb.org/organizations/allopathic_osteopathic_physicians/mohs-micrographic-surgery_207nd0101x/1790210516.aspx
RU,BRENTWOOD PEDIATRIC & ADOLESCENT ASSOCIATES PC,BAY SHORE,NY,11706,33D1061157,brentwoodpediatricsny.com,https://brentwoodpediatricsny.com/
RU,KOFMAN MEDICAL SERVICES PC,BROOKLYN,NY,11229,33D1039705,dayofdifference.org.au,https://npiregistry.cms.hhs.gov/provider-view/1093899650
RU,OPTUM MEDICAL CARE PC,SYOSSET,NY,11791,33D2008856,east.optum.com,https://east.optum.com/locations/primary-care-syosset/
RU,URGENT ONE MEDICAL CARE PC,CEDARHURST,NY,11516,33D1054884,whereorg.com,https://www.sharecare.com/find-a-doctor/group-profile/ny-new-york/cedarhurst/urgent-one-medical-xrd4tm
RU,I K MEDICAL PC,BROOKLYN,NY,11209,33D0958869,,https://www.company-detail.com/company-ik-medical-p-c-6281169
RU,EDWARD CONDON MEDICAL PC,COMMACK,NY,11725,33D1087089,condonmedical.com,https://condonmedical.com/
RU,LONG ISLAND QUEENS MEDICAL ASSOCIATES PC,MINEOLA,NY,11501,33D1091586,conciergemedicaldirectory.com,https://doctor.webmd.com/practice/long-island-queens-medical-associates-3412cac5-4703-e211-a42b-001f29e3eb44
RU,NEW YORK ANESTHESIOLOGY MEDICAL SPECIALTIES,NORTH SYRACUSE,NY,13212,33D1084608,newyork-company.com,https://npino.com/medical-supplies/1841285996-new-york-anesthesiology-medical-specialties-pc/
RU,GASTROENTEROLOGY ASSOCIATES OF SUFFOLK PC,SMITHTOWN,NY,11787,33D1099573,gastroofsuffolk.com,https://gastroofsuffolk.com/
RU,MAZE LABORATORIES,NEW YORK,NY,10017,33D2013580,mazelabs.com,https://www.mazelabs.com/
RU,DR YIO MEDICAL SERVICE PC,FLUSHING,NY,11354,33D1099029,dryio.com,https://dryio.com/
RU,"V ALEKSANDROVICH MEDICAL, PC",BROOKLYN,NY,11224,33D1048600,aleksandrovichmd.com,https://www.aleksandrovichmd.com/
RU,AGI MEDICAL PLLC,BROOKLYN,NY,11220,33D2008858,agimedpc.com,https://doctor.webmd.com/practice/agi-medical-pllc-10296b06-b42a-e711-a8b6-001f29e3eb44
RU,MIDDLETOWN MEDICAL PC,CIRCLEVILLE,NY,10919,33D2005147,middletownmedical.com,https://middletownmedical.com/circleville/
RU,"NY MEDICAL SKIN SOLUTIONS, PLLC",NEW YORK,NY,10016,33D1089124,skincarenyc.com,https://skincarenyc.com/
RU,CTU MEDICAL PC,BROOKLYN,NY,11220,33D2018482,connect.medicalnewstoday.com,https://npiregistry.cms.hhs.gov/provider-view/1003141573
RU,WESTERN NEW YORK MEDICAL PC,AMHERST,NY,14226,33D2002223,wnymedical.com,https://wnymedical.com/
RU,"ADVANCED SOUTHERN WESTCHESTER MEDICAL, PC",YONKERS,NY,10701,33D2036797,advancedurologywestchester.com,https://www.advancedurologywestchester.com/
RU,OPTUM MEDICAL CARE PC,LAKE SUCCESS,NY,11042,33D2048212,east.optum.com,https://east.optum.com/locations/internal-medicine-lake-success-ste-310/
RU,PREMIER MEDICAL GROUP OF THE HUDSON VALLEY PC,POUGHKEEPSIE,NY,12601,33D2113820,premiermedicalhv.com,https://premiermedicalhv.com/
RU,NEW YORK MEDICAL SCIENCES PC,NEW YORK,NY,10019,33D2104121,nymamed.com,https://npidb.org/organizations/allopathic_osteopathic_physicians/reproductive-endocrinology_207ve0102x/1083166003.aspx
RU,WESTCHESTER MEDICAL GROUP PLLC,YONKERS,NY,10701,33D2127860,dayofdifference.org.au,https://dayofdifference.org.au/w-medical/westchester-medical-group-yonkers.html
RU,MANHATTAN PEDIATRIC ASSOCIATES,BROOKLYN,NY,11220,33D2063831,manhattan-pediatrics.com,https://manhattan-pediatrics.com/
RU,NORTH SHORE HEMATOLOGY-ONCOLOGY ASSOCIATES PC,BABYLON,NY,11702,33D2101355,babylonbeacon.com,https://contactout.com/company/north-shore-hematology-oncology-associates-nshoa-5038658
RU,NEW YORK PROFESSIONAL MEDICAL SERVICES LLC,BROOKLYN,NY,11214,33D2100316,dayofdifference.org.au,https://data.cms.gov/tools/medicare-revalidation-list/provider/O20150123000194
RU,"INTEGRATED MEDICAL PROFESSIONALS, PLLC",FARMINGDALE,NY,11735,33D2109963,imppllc.com,https://imppllc.com/
RU,MANHATTAN PEDIATRIC ASSOCIATES PC,ELMHURST,NY,11373,33D2111572,manhattan-pediatrics.com,https://manhattan-pediatrics.com/
RU,MAIDEN LANE MEDICAL PLLCR,NEW YORK,NY,10038,33D2046630,maidenlanemedical.com,https://maidenlanemedical.com/
RU,MERRICK MEDICAL CARE PLLC,MERRICK,NY,11566,33D2073527,dayofdifference.org.au,https://npidb.org/organizations/ambulatory_health_care/ambulatory-surgical_261qa1903x/1821399981.aspx
RU,FNA MEDICAL DIAGNOSTICS PLLC,WEST HARRISON,NY,10604,33D2071407,,https://opennpi.com/provider/1477824506
RU,SOOD MEDICAL LLC,ARDSLEY,NY,10502,33D2146127,soodmedical.com,https://soodmedical.com/
RU,WESTCHESTER MEDICAL GROUP PLLC,PURCHASE,NY,10577,33D2132521,summithealth.com,https://www.summithealth.com/locations/purchase-3030-westchester-avenue
RU,ADVANCED MEDICAL OF GRAND CENTRAL PC,BROOKLYN,NY,11229,33D2152586,medicarelist.com,https://www.vitals.com/practice/advanced-medical-of-grand-central-pc-58c97669-a378-44ff-833d-bff1218a591a
RU,BRAIN AND SPINE MEDICAL SERVICES PLLC,WILLIAMSVILLE,NY,14221,33D2168229,w9ein.com,https://opennpi.com/provider/1073631644
RU,BUSHWICK PROFESSIONAL MEDICAL SERVICES OF NEW YORK,BROOKLYN,NY,11207,33D2174876,brooklyn-physicaltherapy.com,https://npidb.org/organizations/allopathic_osteopathic_physicians/vascular-surgery_2086s0129x/1003393299.aspx
RU,NORTH SHORE HEMATOLOGY-ONCOLOGY ASSOCIATES PC,LONG ISLAND CITY,NY,11102,33D2164668,ny.hospitals-usa.org,https://leadiq.com/c/north-shore-hematology-oncology-associates-nshoa/5a1d92fb5400005200778e39
RU,MIDDLETOWN MEDICAL PC,MIDDLETOWN,NY,10940,33D2182677,middletownmedical.com,https://middletownmedical.com/
RU,NORTH SHORE HEMATOLOGY ONCOLOGY ASSOCIATES PC,ELMHURST,NY,11373,33D2175048,,https://ourhealthnetwork.com/group-practice/north-shore-hematology-oncology-associates-pc-elmhurst-ny-1456243641
RU,EMPIRE MEDICAL OFFICE PC,NEW YORK,NY,10016,33D2189533,empiremedicalpc.com,https://empiremedicalpc.com/
RU,GREENBERG MEDICAL SERVICES PC,WOODBURY,NY,11797,33D2198228,greenbergcosmeticsurgery.com,https://npidb.org/organizations/allopathic_osteopathic_physicians/dermatology_207n00000x/1689181562.aspx
RU,JAMAICA QUEENS PROFESSIONAL MEDICAL SERVICES,JAMAICA,NY,11432,33D2157731,queenspromed.com,https://queenspromed.com/
RU,"NORTH SHORE HEMATOLOGY ONCOLOGY ASSOCIATES, PC",WADING RIVER,NY,11792,33D2186869,northshoreoncology.com,https://contactout.com/company/north-shore-hematology-oncology-associates-nshoa-5038658
RU,REPRODUCTIVE MEDICINE ASSOCIATES OF NEW YORK,BROOKLYN,NY,11201,33D2046784,rmany.com,https://www.rmany.com/
RU,CORONA MEDICAL PC,GREAT NECK,NY,11023,33D2210935,newyork-company.com,http://www.healthcare4ppl.com/medical-group/new-york/great-neck/corona-medical-pc-0749421279.html
RU,PRIORITY PRIVATE MEDICAL CARE PC,WATER MILL,NY,11976,33D2209975,patientprioritymedical.com,https://patientprioritymedical.com/
RU,NORTH SHORE HEMATOLOGY ONCOLOGY ASSOCIATES PC,FOREST HILLS,NY,11375,33D2221238,,https://contactout.com/company/north-shore-hematology-oncology-associates-nshoa-5038658
RU,NORTH SHORE HEMATOLOGY ONCOLOGY ASSOCIATES PC,NEW YORK,NY,10128,33D2228385,ny.hospitals-usa.org,https://leadiq.com/c/north-shore-hematology-oncology-associates-nshoa/5a1d92fb5400005200778e39
RU,PRIORITY PRIVATE MEDICAL CARE PC,NEW YORK,NY,10021,33D2223093,patientprioritymedical.com,https://patientprioritymedical.com/
RU,MINGXUE YANG MEDICAL PC,NEW YORK,NY,10017,33D2276962,allcarefertility.com,https://www.sharecare.com/doctor/dr-mingxue-yang
RU,"PRIORITY PRIVATE MEDICAL CARE, PC",NEW YORK,NY,10010,33D2283702,prnewswire.com,https://doctor.webmd.com/practice/priority-private-care-1ba7d71f-3c04-e711-a8b6-001f29e3eb44
RU,"PRIORITY PRIVATE MEDICAL CARE, PC",NEW YORK,NY,10001,33D2291511,,https://doctor.webmd.com/practice/priority-private-care-1ba7d71f-3c04-e711-a8b6-001f29e3eb44
RU,NORTH SHORE HEMATOLOGY ONCOLOGY ASSOCIATES,BROOKLYN,NY,11201,33D2266654,nshoa.com,http://www.nshoa.com/about
RU,JOSHUA BERKOWITZ MD MEDICAL PC,MANHASSET,NY,11030,33D2271534,npi-lookup.org,https://npino.com/npi/1811316771-dr.-joshua-berkowitz/
RU,FOREST HILLS MEDICAL SERVICES PC,NEW YORK,NY,10022,33D2313749,carecredit.com,https://www.carecredit.com/doctor-locator/forest-hills-ny/forest-hills-medical-services-pc-864jxn/
RU,"JRR MEDICAL, PC",NEW YORK,NY,10010,33D2327152,,https://npidb.org/organizations/allopathic_osteopathic_physicians/gastroenterology_207rg0100x/1891345666.aspx
RU,NORTH SHORE HEMATOLOGY ONCOLOGY ASSOCIATES PC,BROOKLYN,NY,11207,33D2231442,ny.hospitals-usa.org,https://contactout.com/company/north-shore-hematology-oncology-associates-nshoa-5038658
RU,NORTH SHORE HEMATOLOGY ONCOLOGY ASSOCIATES PC,LAKE RONKONKOMA,NY,11779,33D2231456,ny.hospitals-usa.org,https://ourhealthnetwork.com/group-practice/north-shore-hematology-oncology-associates-pc-ronkonkoma-ny-1456243641
