src,name,city,state,zip,clia,domain,exa_top_url,error
REF,GHC-SCW CAPITOL CLINIC,MADISON,WI,53703,52D0393663,ghcscw.com,https://ghcscw.com/clinic/ghc-scw-capitol-clinic/,
REF,FMCCP- TOWN HALL HEALTH CENTER,MENOMONEE FALLS,WI,53051,52D0388485,froedtert.com,https://www.froedtert.com/locations/health-center/town-hall-health-center,
REF,A2CL AURORA HEALTH CENTER - GOOD HOPE RD,MILWAUKEE,WI,53209,52D0390360,aurorahealthcare.org,https://www.aurorahealthcare.org/locations/aurora-health-center-3003-w-good-hope-rd,
REF,A2CL AURORA HEALTH CENTER - MAYFAIR NORTH,WAUWATOSA,WI,53222,52D0391644,aurorahealthcare.org,https://www.aurorahealthcare.org/locations/aurora-health-center-wauwatosa,
REF,A2CL AURORA HEALTH CENTER - EDGERTON,MILWAUKEE,WI,53220,52D0665264,aurorahealthcare.org,https://www.aurorahealthcare.org/locations/aurora-health-center-6901-w-edgerton-ave,
REF,A2CL AURORA HEALTH CENTER - NEW BERLIN,NEW BERLIN,WI,53151,52D0880249,aurorahealthcare.org,https://www.aurorahealthcare.org/locations/aurora-health-center-new-berlin,
REF,"CSL PLASMA, INC",BELOIT,WI,53511,52D0672101,cslplasma.com,https://www.cslplasma.com/,
REF,CITY OF MILWAUKEE STD CLINIC LABORATORY,MILWAUKEE,WI,53216,52D0860363,city.milwaukee.gov,https://city.milwaukee.gov/Health/Services-and-Programs/Sexual-Reproductive-Health/Keenan,
REF,BIOLIFE PLASMA SERVICES LP,GREEN BAY,WI,54311,52D0901417,biolifeplasma.com,https://biolifeplasma.com/,
REF,BIOLIFE PLASMA SERVICES LP,GREEN BAY,WI,54303,52D2060893,biolifeplasma.com,https://biolifeplasma.com/,
REF,COPPE LABORATORIES,WAUKESHA,WI,53186,52D0921062,coppelabs.com,https://coppelabs.com/,
REF,BIOLIFE PLASMA SERVICES LP,OSHKOSH,WI,54904,52D0921541,biolifeplasma.com,https://www.biolifeplasma.com/locations/wisconsin/oshkosh,
REF,BIOLIFE PLASMA SERVICES LP,SHEBOYGAN,WI,53081,52D0953488,biolifeplasma.com,https://www.biolifeplasma.com/locations/wisconsin/sheboygan,
REF,AURORA HEALTH CARE METRO INC - RACINE,RACINE,WI,53406,52D0976606,aurorahealthcare.org,https://www.aurorahealthcare.org/locations/aurora-health-center-racine,
REF,MICROBIOLOGY RESEARCH LABORATORY,LA CROSSE,WI,54601,52D1019319,uwlax.edu,https://www.uwlax.edu/academics/microbiology/,
REF,FROEDTERT & THE MEDICAL COLLEGE OF WISCONSIN,WEST BEND,WI,53095,52D0678401,froedtert.com,https://www.froedtert.com/locations/hospital/west-bend-hospital,
REF,BIOLIFE PLASMA SERVICES LP,STEVENS POINT,WI,54482,52D0961971,biolifeplasma.com,https://www.biolifeplasma.com/locations/wisconsin/stevens-point,
