name,domain,city,state,clia_number
PEAK CLINICAL DIAGNOSTICS LLC,peakclinicaldiagnostics.com,AURORA,CO,06D2267171
INGERLISA MATTOCH MD INC DBA TIAGA PATHOLOGY,tiagapathlab.com,LOVELAND,CO,06D2284295
EAGLE COUNTY PARAMEDIC SERVICES,eaglecountyparamedics.com,EDWARDS,CO,06D2294981
BIOLIFE PLASMA SERVICES LP,biolifeplasma.com,THORNTON,CO,06D2299172
"SALIENT DIAGNOSTICS, LLC",salientdx.com,DENVER,CO,06D2303146
"QUEST DIAGNOSTICS, LLC",locations.questdiagnostics.com,WALLINGFORD,CT,07D0093126
QUEST DIAGNOSTICS,locations.questdiagnostics.com,NEW HAVEN,CT,07D0095979
QUEST DIAGNOSTICS LLC,locations.questdiagnostics.com,HAMDEN,CT,07D0098549
DR KATHERINE A KELLEY STATE PUBLIC HEALTH LAB,portal.ct.gov,ROCKY HILL,CT,07D0644555
OBGYN GROUP OF EASTERN CT PC,obgyneasternct.com,SOUTH WINDSOR,CT,07D0677759
GH BENDHEIM LABORATORY,greenwichhospital.org,GREENWICH,CT,07D0694769
CENTER FOR ADVANCED REPRODUCTIVE SERVICES,uconnfertility.com,HARTFORD,CT,07D0723063
SAINT MARY'S HOSPITAL ONCOLOGY CENTER,trinityhealthofne.org,WATERBURY,CT,07D0899809
DERMATOPATHOLOGY LABORATORY OF NEW ENGLAND PC,dermpathlabne.com,MERIDEN,CT,07D0902738
QUEST DIAGNOSTICS LLC,locations.questdiagnostics.com,WETHERSFIELD,CT,07D0959690
MOLECULAR DIAGNOSTIC LABORATORY LLC,,WALLINGFORD,CT,07D0993149
QUEST DIAGNOSTICS LLC,locations.questdiagnostics.com,CHESHIRE,CT,07D1068226
PFIZER PHARMACOGENOMICS LAB,pfizer.com,GROTON,CT,07D1105829
QUEST DIAGNOSTICS,locations.questdiagnostics.com,NORWICH,CT,07D2058038
"ACCU REFERENCE MEDICAL LAB, LLC",accureference.com,EAST HARTFORD,CT,07D2062566
CT GI LABORATORY POWERED BY,connecticutgi.org,WETHERSFIELD,CT,07D2065321
"MILFORD MOLECULAR DIAGNOSTICS, LLC",dnalymetest.com,MILFORD,CT,07D2067401
"PRECISION TOXICOLOGY, LLC",precisiontoxicology.com,WEST HARTFORD,CT,07D2093663
QUEST DIAGNOSTICS LLC,locations.questdiagnostics.com,OLD SAYBROOK,CT,07D2094238
QUEST DIAGNOSTICS LLC,locations.questdiagnostics.com,ENFIELD,CT,07D2107878
QUEST DIAGNOSTICS LLC,locations.questdiagnostics.com,AVON,CT,07D2107880
QUEST DIAGNOSTICS,locations.questdiagnostics.com,SOUTHBURY,CT,07D2107882
QUEST DIAGNOSTICS,locations.questdiagnostics.com,BLOOMFIELD,CT,07D2107888
QUEST DIAGNOSTICS LLC,locations.questdiagnostics.com,WEST HAVEN,CT,07D2108221
QUEST DIAGNOSTICS,locations.questdiagnostics.com,NEW BRITAIN,CT,07D2108223
YALE DERMATOLOGY-BRANFORD,yalemedicine.org,BRANFORD,CT,07D2112485
QUEST DIAGNOSTICS LLC,locations.questdiagnostics.com,BRIDGEPORT,CT,07D2133457
QUEST DIAGNOSTICS LLC,locations.questdiagnostics.com,MILFORD,CT,07D2133458
QUEST DIAGNOSTICS,locations.questdiagnostics.com,WALLINGFORD,CT,07D2133460
ADVANCED GENETICS LAB,advancedgeneticslab.com,MONROE,CT,07D2147777
LABORATORY FOR DNA-GUIDED MEDICINE,dnaguidance.com,HARTFORD,CT,07D2160761
"EAST SIDE CLINICAL LABORATORY, INC",eastsidelab.com,NORWICH,CT,07D2164116
LABORATORY CORPORATION OF AMERICA HOLDINGS,locations.labcorp.com,GREENWICH,CT,07D2169459
LABORATORY CORPORATION OF AMERICA HOLDINGS,labcorp.com,DANBURY,CT,07D2169461
LABORATORY CORPORATION OF AMERICA HOLDINGS,locations.labcorp.com,STAMFORD,CT,07D2170095
GENCO LABS LLC,gencolabs.com,BRANFORD,CT,07D2172174
QUEST DIAGNOSTICS LLC,locations.questdiagnostics.com,WEST HARTFORD,CT,07D2174115
QUEST DIAGNOSTICS LLC,locations.questdiagnostics.com,SOUTHINGTON,CT,07D2174117
QUEST DIAGNOSTICS LLC,locations.questdiagnostics.com,WINDSOR,CT,07D2175391
QUEST DIAGNOSTICS LLC,locations.questdiagnostics.com,MANCHESTER,CT,07D2175400
LABORATORY CORPORATION OF AMERICA HOLDINGS,locations.labcorp.com,ROCKY HILL,CT,07D2279329
DIANON SYSTEMS INC,dianon.com,WOODBRIDGE,CT,07D2283699
LABORATORY CORPORATION OF AMERICA HOLDINGS,labcorp.com,SOUTHINGTON,CT,07D2315426
ECPC-C WALLACE HOME,wallacedesigncenter.com,AVON,CT,07D2316952
LABORATORY CORPORATION OF AMERICA HOLDINGS,labcorp.com,EAST HAVEN,CT,07D2327629
LABORATORY CORPORATION OF AMERICA,locations.labcorp.com,NEW CASTLE,DE,08D0205715
DELAWARE PUBLIC HEALTH LABORATORY,dhss.delaware.gov,SMYRNA,DE,08D0662985
"QPS, LLC",qps.com,NEWARK,DE,08D0995854
"INCENDIUM, LLC",practicecrown.com,DOVER,DE,08D1091063
GREEN CLINICS LABORATORY,greenclinics.net,DOVER,DE,08D2099470
"CTM MEDICAL ASSOCIATES, LLC",,MILLSBORO,DE,08D2101683
SUNWISE FAMILY DERMATOLOGY AND SURGERY,sunwisederm.com,MIDDLETOWN,DE,08D2137936
"CSL PLASMA, INC",cslplasma.com,NEWARK,DE,08D2178548
RSM DIAGNOSTICS LAB LLC,rsmdiagnosticslab.com,WILMINGTON,DE,08D2253750
INSIGHT DIAGNOSTICS LLC,insightdxs.com,LEWES,DE,08D2318627
B & W STAT LABORATORY,bwstatlab.com,WASHINGTON,DC,09D0208053
GEORGETOWN DERMPATH,georgetowndermpath.com,WASHINGTON,DC,09D1092155
EPIARX CONCIERGE PLLC,epiarx.com,WASHINGTON,DC,09D2177481
FLORIDA DEPARTMENT OF HEALTH IN MIAMI DADE COUNTY,miamidade.floridahealth.gov,MIAMI,FL,10D0024196
QUANTUM HEALTH DIAGNOSTICS,pathology-group.com,PENSACOLA,FL,10D0270905
FINLAY CLINICAL LABORATORY INC,finlaylab.com,MIAMI,FL,10D0280554
CELL SCIENCE SYSTEMS CORPORATION,cellsciencesystems.com,DEERFIELD BEACH,FL,10D0283906
IMMUNO LABORATORIES INC,immunolabs.com,FORT LAUDERDALE,FL,10D0284781
ST JOHNS BIOMEDICAL LABORATORIES INC,staugustinehealth.com,SAINT AUGUSTINE,FL,10D0645082
FL DOH - BPHL,floridahealth.gov,JACKSONVILLE,FL,10D0645095
BERNHARDT LABORATORIES,bernhardtlabs.com,JACKSONVILLE,FL,10D0645099
"FDOH, BUREAU OF PUBLIC HEALTH LABORATORIES - MIAMI",floridahealth.gov,MIAMI,FL,10D0645348
FL DEPT OF HEALTH BUREAU OF PUBLIC HEALTH,floridahealth.gov,TAMPA,FL,10D0645546
LIFELINK FOUNDATION INC D/B/A,lifelinkfound.org,TAMPA,FL,10D0645555
BIOLIFE PLASMA SERVICES LP,biolifeplasma.com,LAKELAND,FL,10D0663652
PALM BEACH COUNTY HEALTH DEPARTMENT-LABORATORY,palmbeach.floridahealth.gov,WEST PALM BEACH,FL,10D0683133
UMDC DERMATOPATHOLOGY LABORATORY,med.miami.edu,MIAMI,FL,10D0692983
PLANNED PARENTHOOD OF FLORIDA INC,ppfl.org,WEST PALM BEACH,FL,10D0722304
CSL PLASMA INC,cslplasma.com,PENSACOLA,FL,10D0862924
SHORELINE UROCARE PL,shorelineuro.com,BROOKSVILLE,FL,10D0868528
PATHOLOGY ASSOCIATES,baypathologyassociates.com,PANAMA CITY,FL,10D0885189
PLANNED PARENTHOOD OF FLORIDA,plannedparenthood.org,ORLANDO,FL,10D0899197
ROBERT A NORMAN DO PA,drrobertnorman.com,TAMPA,FL,10D0908280
OXFORD BIOMEDICAL TECHNOLOGIES INC,nowleap.com,RIVIERA BEACH,FL,10D0914874
"REPRODUCTIVE MEDICINE GROUP LLC, THE",floridafertility.com,TAMPA,FL,10D0924393
"REPRODUCTIVE MEDICINE GROUP LLC, THE",floridafertility.com,CLEARWATER,FL,10D0924394
MICRO PATH LABORATORIES INC,micropathlabs.com,WINTER HAVEN,FL,10D0939339
BIO-TECH CLINICAL LABORATORIES INC,biotechclinicallab.com,DORAL,FL,10D0965332
"REPRODUCTIVE MEDICINE GROUP LLC, THE",floridafertility.com,BRANDON,FL,10D0989448
BOCA RATON DERMATOLOGY PA,bocaratonderm.com,DELRAY BEACH,FL,10D0990498
RUFFOLO HOOPER & ASSOCIATES MD PA,rha-pa.com,TAMPA,FL,10D1012566
FORT MYERS DERMATOPATHOLOGY PA,,FORT MYERS,FL,10D1012626
SUNRISE CLINICAL LABORATORY INC,npino.org,PORT CHARLOTTE,FL,10D1025536
RELIANCE PATHOLOGY PARTNERS LLC,reliancepathology.com,BRANDON,FL,10D1038878
AMERIPATH FLORIDA LLC,ameripath.com,CORAL SPRINGS,FL,10D1040841
AMERIPATH FLORIDA LLC,ameripath.com,FORT MYERS,FL,10D1041409
UNITED LABORATORY SERVICES CORP,unitedlabservice.com,MIAMI,FL,10D1044073
IBIS HEALTHCARE INC,ibishealthcare.org,TAMPA,FL,10D1053861
MORGAN DERMPATH LABS INC,drgalen.org,JUPITER,FL,10D1074257
"DERMATOLOGY GROUP OF FLORIDA, PA",khouridermatology.com,KEY LARGO,FL,10D1077527
I PATHOLOGY LLC,ipathlifesciences.com,LAKELAND,FL,10D1079616
REGIONAL CANCER CENTER,leehealth.org,FORT MYERS,FL,10D1089024
SURGICAL PATHOLOGY LABORATORIES PA MLU8,surgicalpathlabs.com,PINELLAS PARK,FL,10D1095707
PATHOLOGY ON THE GO INC,dnatestingcenters.com,POMPANO BEACH,FL,10D1100498
SURGICAL PATHOLOGY LABORATORIES PA MLU 9,surgicalpathlabs.com,PINELLAS PARK,FL,10D1105853
ROBB E WILENTZ MD LLC,skinandcancerassociates.com,AVENTURA,FL,10D2004292
RUFFOLO HOOPER & ASSOCIATES MD PA,rha-pa.com,SEFFNER,FL,10D2004734
FRANCESSCA BRETTSCHNEIDER MD,skinandcancerassociates.com,FORT LAUDERDALE,FL,10D2004845
CSL PLASMA INC,cslplasma.com,PORT SAINT LUCIE,FL,10D2027570
CSL PLASMA INC,cslplasma.com,WILTON MANORS,FL,10D2028813
"XACT GENETICS, LLC",xactgenetics.com,HENRIETTA,TX,10D2030155
NEOGENOMICS LABORATORIES INC,neogenomics.com,TEMPLE TERRACE,FL,10D2031805
DOCTORS CLINICAL LABORATORY SERVICES,doctorsclinicallab.net,DORAL,FL,10D2032923
UHEALTH PATHOLOGY AT RMSB,umiamihealth.org,MIAMI,FL,10D2033659
"PALM BEACH COUNTY FIREFIGHTERS HEALTH CLINIC, LLC",myffwellness.com,WEST PALM BEACH,FL,10D2050889
MID-FLORIDA PATHOLOGY LLC,midfloridapathology.com,ORLANDO,FL,10D2053266
MID-FLORIDA PATHOLOGY LLC,midfloridapathology.com,LAUDERDALE BY THE SEA,FL,10D2061921
SURGICAL PATHOLOGY LABORATORIES PA-MLU #11,surgicalpathlabs.com,PINELLAS PARK,FL,10D2065373
IGENOMIX USA INC,igenomix.us,MIAMI,FL,10D2066797
CSL PLASMA INC-TAMPA,cslplasma.com,TAMPA,FL,10D2072032
PROGRESSIVE MEDICAL LAB LLC,progressmedicalllc.com,S DAYTONA,FL,10D2077051
HUNG WEI LEE MD,totalgastroenterology.com,BRADENTON,FL,10D2083415
RUFFOLO HOOPER & ASSOCIATES MD PA,rha-pa.com,TAMPA,FL,10D2094538
CSL PLASMA INC,cslplasma.com,ORLANDO,FL,10D2096239
APLS SERVICES LLC D/B/A CLEAR DIAGNOSTICS,cleardiagnostics.net,TARPON SPRINGS,FL,10D2096689
SURGICAL PATHOLOGY LABORATORIES PA MLU12,surgicalpathlabs.com,PINELLAS PARK,FL,10D2097253
RELIANCE PATHOLOGY PARTNERS LLC-MOBILE,reliancepathology.com,TAMPA,FL,10D2097512
NILOGEN ONCOSYSTEMS LLC,nilogen.com,TAMPA,FL,10D2102362
CSL PLASMA INC,cslplasma.com,ORANGE CITY,FL,10D2106262
CSL PLASMA INC,cslplasma.com,LAKELAND,FL,10D2107932
MID - FLORIDA PATHOLOGY LLC,midfloridapathology.com,LEESBURG,FL,10D2123842
OHM LABS LLC,ohm-labs.com,PALM CITY,FL,10D2124997
UHEALTH ELECTRON MICROSCOPY LABORATORY,med.miami.edu,MIAMI,FL,10D2131537
BIOLIFE PLASMA SERVICES LP,biolifeplasma.com,CASSELBERRY,FL,10D2136816
CBS LABS OF TAMPA LLC,cbslabstampa.com,TAMPA,FL,10D2137962
CSL PLASMA INC,cslplasma.com,LONGWOOD,FL,10D2141890
CSL PLASMA INC,cslplasma.com,TALLAHASSEE,FL,10D2144587
AHF PUBLIC HEALTH LABORATORY,ahf.org,FORT LAUDERDALE,FL,10D2149550
NEOGENOMICS LABORATORIES INC,neogenomics.com,JUNO BEACH,FL,10D2151111
RUFFOLO HOOPER & ASSOCIATES MD PA,rha-pa.com,TAMPA,FL,10D2157658
SOUTH FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,ivfmd.com,MELBOURNE,FL,10D2158465
SARASOTA PATHOLOGY,sarapath.com,SAINT PETERSBURG,FL,10D2162406
CSL PLASMA INC,cslplasma.com,TEMPLE TERRACE,FL,10D2162585
RELIANCE PATHOLOGY PARTNERS LLC,reliancepathology.com,PALM HARBOR,FL,10D2164073
CSL PLASMA INC,cslplasma.com,MIRAMAR,FL,10D2164771
DYNAMIC PATHOLOGY PLLC,dynamicpathology.com,TAMPA,FL,10D2165762
CSL PLASMA INC,cslplasma.com,PALM BAY,FL,10D2166715
MID FLORIDA PATHOLOGY LLC,midfloridapathology.com,WILLISTON,FL,10D2167244
APP-PBP LLC,startupwebsolutions.com.au,WEST PALM BEACH,FL,10D2168311
CSL PLASMA INC,cslplasma.com,HOMESTEAD,FL,10D2170473
BIOLIFE PLASMA SERVICES LP,biolifeplasma.com,KISSIMMEE,FL,10D2170479
UF HEALTH MOLECULAR PATHOLOGY LABORATORY -,ufhealthjax.org,JACKSONVILLE,FL,10D2170836
HEMATOLOGY/ONCOLOGY OFFICE LAB AT REGIONAL,leehealth.org,FORT MYERS,FL,10D2173587
CSL PLASMA INC,cslplasma.com,JACKSONVILLE,FL,10D2186397
UNIVERSITY OF MIAMI HOSPITALS & CLINICS -,umiamihealth.org,FORT LAUDERDALE,FL,10D2209605
MID FLORIDA PATHOLOGY LLC,midfloridapathology.com,EUSTIS,FL,10D2212076
CSL PLASMA INC,cslplasma.com,OCALA,FL,10D2212098
RUFFOLO HOOPER & ASSOCIATES MD PA,rha-pa.com,WESLEY CHAPEL,FL,10D2218806
"EXPRESS MEDICAL EXPERTS, LLC",carecredit.com,ORANGE PARK,FL,10D2219475
RUFFOLO HOOPER & ASSOCIATES MD PA,rha-pa.com,TAMPA,FL,10D2220185
"ONSPOT -FL, LLC",onspotdermatology.com,FORT MYERS,FL,10D2224637
RUFFOLO HOOPER & ASSOCIATES MD PA,rha-pa.com,WESLEY CHAPEL,FL,10D2226262
"MARK & KAMBOUR, MD, PA",mkpathology.com,PORT CHARLOTTE,FL,10D2244851
"MICRO PATH LABORATORIES, INC",micropathlabs.com,BARTOW,FL,10D2264975
Z2 SCIENTIFIC LLC,z2scientific.com,CELEBRATION,FL,10D2265416
MICROWELL LABORATORIES INC,microwelllabs.com,CLEARWATER,FL,10D2266032
"ANGEL TOUCH NURSE REGISTERED, LLC",angeltouchnurseregistered.com,MIAMI,FL,10D2266950
MAYO CLINIC JACKSONVILLE ELECTRON MICROSCOPY LAB,mayo.edu,JACKSONVILLE,FL,10D2272872
"RISING TIDE REFERENCE LABORATORY, LLC",rtrl.us,LONGWOOD,FL,10D2276452
"CSL PLASMA, INC",cslplasma.com,TAMPA,FL,10D2278007
BIOLIFE PLASMA SERVICES LP,biolifeplasma.com,ORLANDO,FL,10D2280081
AMERIPATH FLORIDA LLC,ameripath.com,ST JOHNS,FL,10D2283648
REGIONAL CANCER CENTER AT BHC,leehealth.org,ESTERO,FL,10D2285496
"COMPREHENSIVE PATHOLOGY ASSOCIATES, PA",npidashboard.com,MIAMI,FL,10D2286524
DYNAMIC PATHOLOGY ORLANDO,dynamicpathology.com,WINTER SPRINGS,FL,10D2294645
ROSENBLUM-VICTORIA PA,ddrlawyers.com,PEMBROKE PINES,FL,10D2300536
CONCIERGE PATHOLOGY LLC,conciergediagnostics.com,JACKSONVILLE BEACH,FL,10D2305053
MID FLORIDA PATHOLOGY LLC,midfloridapathology.com,DE LAND,FL,10D2306670
GL CLINICAL LABORATORY AND RESEARCH LLC,labprospects.com,MEDLEY,FL,10D2307895
PBPDM,delraybeachfl.gov,DELRAY BEACH,FL,10D2313071
PATRIOT LABORATORY LLC,labprospects.com,CLEARWATER,FL,10D2314642
MY MEDEX LAB LLC,mymedexlab.com,JACKSONVILLE,FL,10D2316512
UNIVERSITY OF MIAMI HOSPITAL & CLINICS - GCRB,umiamihealth.org,MIAMI,FL,10D2318807
ATARAXIS AI INC,ataraxis.ai,ORLANDO,FL,10D2321150
MBMMD LLC,finehomebuilding.com,ODESSA,FL,10D2323628
MEDIPATH LLC,medipath.com,JACKSONVILLE,FL,10D2323898
"HARBIN CLINIC, LLC - MAIN OFFICE",romega.chambermaster.com,ROME,GA,11D0256801
"PLANNED PARENTHOOD SOUTHEAST, INC",plannedparenthood.org,MARIETTA,GA,11D0258374
ATLANTA DIABETES ASSOCIATES,atlantadiabetes.com,ATLANTA,GA,11D0259599
"ASSOCIATED PATHOLOGISTS, LLC",associated-pathologists.com,ATLANTA,GA,11D0260856
GEORGIA PUBLIC HEALTH LABORATORY,dph.georgia.gov,DECATUR,GA,11D0671793
WAYCROSS REGIONAL LABORATORY,dph.georgia.gov,WAYCROSS,GA,11D0671837
COLUMBUS HEALTH DEPARTMENT,dph.georgia.gov,COLUMBUS,GA,11D0674629
CHATHAM COUNTY HEALTH DEPT CLINIC,gachd.org,SAVANNAH,GA,11D0690710
HALL COUNTY HEALTH DEPARTMENT,hallcounty.org,GAINESVILLE,GA,11D0691469
DEKALB PUBLIC HEALTH,dekalbpublichealth.com,DECATUR,GA,11D0693066
EAST CENTRAL HEALTH DISTRICT,ecphd.com,AUGUSTA,GA,11D0694817
DOUGHERTY COUNTY HEALTH DEPARTMENT,dph.georgia.gov,ALBANY,GA,11D0702558
DISTRICT 4 PUBLIC HEALTH,district4health.org,LAGRANGE,GA,11D0703582
FORSYTH COUNTY HEALTH DEPARTMENT,forsythhd.com,CUMMING,GA,11D0866868
"ATLANTA HEALTH ASSOCIATES, INC",atlantahealth.net,CUMMING,GA,11D0883358
"CLINICAL LABORATORY SERVICES, INC",clinicallaboratoryservices.com,WINDER,GA,11D0930302
"GASTROENTEROLOGY SPECIALISTS OF GWINNETT, PC",gastrogwinnett.com,LAWRENCEVILLE,GA,11D0955022
EAST GEORGIA DIAGNOSTIC SERVICES,egradiology.com,STATESBORO,GA,11D0982961
"ACCU LAB, LLC - KIDNEY-HYPERTENSION-CLINIC, PC",acculabllc.com,LAWRENCEVILLE,GA,11D2009488
SKINPATH SOLUTIONS,skinpathsolutions.com,SMYRNA,GA,11D2010733
"SEPA, PC AT BRUNSWICK, - PARKWOOD",sepalabs.com,BRUNSWICK,GA,11D2017905
"SEPA, PC AT SAINT MARY'S - DAN PROCTOR",sghs.org,SAINT MARYS,GA,11D2019192
"SOUTHEASTERN DERMATOPATHOLOGY, LLC",sepath.com,CUMMING,GA,11D2025057
K & S CLINICAL DIAGNOSTICS,ksdiagnostics.com,ATLANTA,GA,11D2053177
SEPA PC AT AZALEA VALDOSTA GEORGIA,sepalabs.com,VALDOSTA,GA,11D2060689
"CSL PLASMA, JONESBORO",cslplasma.com,JONESBORO,GA,11D2071924
"CSL PLASMA, INC - STONE MOUNTAIN",cslplasma.com,STONE MOUNTAIN,GA,11D2074466
CSL PLASMA INC,cslplasma.com,SMYRNA,GA,11D2079194
"MYGENOMICS, LLC",mygenomics.com,ALPHARETTA,GA,11D2084528
PATHOLOGY CONSULTANTS OF AUGUSTA,pcofaug.com,AUGUSTA,GA,11D2087298
"SEPA, PC",columbusga.org,COLUMBUS,GA,11D2092138
"DIAGNOSTIC SOLUTIONS LABORATORY, LLC",diagnosticsolutionslab.com,ALPHARETTA,GA,11D2097795
BIOLIFE PLASMA SERVICES LP,biolifeplasma.com,SNELLVILLE,GA,11D2103312
PRIORITY TOXICOLOGY LABORATORIES,prioritytoxlab.com,UNION CITY,GA,11D2108401
"DIAGNOSTIC DERMATOPATHOLOGY ASSOCIATES, LLC",bdir.in,COLUMBUS,GA,11D2108423
"BIOLIFE PLASMA SERVICES, LP",biolifeplasma.com,SOCIAL CIRCLE,GA,11D2112585
"EUROFINS DONOR & PRODUCT TESTING, LLC, ATLANTA",eurofinsus.com,MARIETTA,GA,11D2112698
"AMERICAN FOOT & LEG SPECIALISTS, LLC",americanfoot.com,STOCKBRIDGE,GA,11D2114365
LABORATORY CORPORATION OF AMERICA HOLDINGS,locations.labcorp.com,ALBANY,GA,11D2154065
BIOLIFE PLASMA SERVICES,biolifeplasma.com,AUGUSTA,GA,11D2154073
BIOLIFE PLASMA SERVICES LP,biolifeplasma.com,MCDONOUGH,GA,11D2160347
"CSL PLASMA, INC - DALTON",cslplasma.com,DALTON,GA,11D2187123
OCMULGEE MEDICAL PATHOLOGY DBA AMERIPATH INC,ameripath.com,TUCKER,GA,11D2230489
GI NORTH PATHOLOGY LABORATORY,gi-north.com,ALPHARETTA,GA,11D2280962
"BETTER LIFE SCIENCE, LLC",mybls.com,ALPHARETTA,GA,11D2282920
"SEBLE CHEKOLM, MD",care.healthline.com,ALPHARETTA,GA,11D2289796
KAISER PERMANENTE KOOLAU MEDICAL OFFICE LAB,healthy.kaiserpermanente.org,KANEOHE,HI,12D0619452
CLINICAL LABS OF HAWAII WAILUKU -MMG,clinicallabs.com,WAILUKU,HI,12D0619547
DIAGNOSTIC LABORATORY SERVICES-SMMH,dlslab.com,KAPAA,HI,12D0619633
CLINICAL LABS OF HAWAII-KULA HOSPITAL,clinicallabs.com,KULA,HI,12D0619844
CLINICAL LABS OF HAWAII-KAMUELA,clinicallabs.com,KAMUELA,HI,12D0646223
CLINICAL LABS OF HAWAII-KAU HOSPITAL,clinicallabs.com,PAHALA,HI,12D0646234
HAWAII DEPT OF HEALTH,health.hawaii.gov,PEARL CITY,HI,12D0646259
KAISER PERMANENTE WAIPIO MEDICAL OFFICE LABORATORY,healthy.kaiserpermanente.org,WAIPAHU,HI,12D1029470
KAISER PERMANENTE MAUI LANI MEDICAL OFFICE LAB,healthy.kaiserpermanente.org,WAILUKU,HI,12D1031667
CLINICAL LABS OF HAWAII-SURGICARE OF HAWAII,surgicareofhawaii.com,HONOLULU,HI,12D2043122
DIAGNOSTIC LABORATORY SERVICES-WCC CTR,wcchc.com,WAIANAE,HI,12D2278175
KAISER PERMANENTE LAHAINA MHV#2 LABORATORY,healthy.kaiserpermanente.org,LAHAINA,HI,12D2299285
DIAGNOSTIC LABORATORY SERVICES-KOHALA HOSP,dlslab.com,KAPAAU,HI,12D2305342
CLINICAL LABS OF HAWAII-KEALAKEKUA,clinicallabs.com,KEALAKEKUA,HI,12D2306255
IDAHO BUREAU OF LABORATORIES,healthandwelfare.idaho.gov,BOISE,ID,13D0646339
IP BOISE 1,cityofboise.org,BOISE,ID,13D0980387
SIPI CLINIC LLC DBA SOUTHERN IDAHO PAIN INSTITUTE,thepaindoc.net,TWIN FALLS,ID,13D1105419
INCYTE PATHOLOGY - KOOTENAI HEALTH BRANCH,incytepathology.com,COEUR D'ALENE,ID,13D2011094
RAISE THE BOTTOM TRAINING AND CONSELING SERVICES,raisethebottomidaho.com,BOISE,ID,13D2047419
BIOLIFE PLASMA SERVICES LP,biolifeplasma.com,BOISE,ID,13D2061664
AIR ST LUKE'S - TREASURE VALLEY,stlukesonline.org,BOISE,ID,13D2068835
INCYTE PATHOLOGY - NORTHWEST SPECIALTY BRANCH,incytepathology.com,POST FALLS,ID,13D2090203
HEMATOLOGICS INC,hematologics.com,BOISE,ID,13D2159364
CSL PLASMA INC,cslplasma.com,NAMPA,ID,13D2192339
PATHOLOGY SERVICES PC,pcidf.com,POST FALLS,ID,13D2204921
IDAHO GASTROENTEROLOGY ASSOCIATES,idahogastro.com,NAMPA,ID,13D2224264
SPEK DIAGNOSTICS,spekdiagnostics.com,GARDEN CITY,ID,13D2272086
LABCORP POST FALLS,locations.labcorp.com,POST FALLS,ID,13D2274131
HEALIX DIAGNOSTICS,healixdiag.com,IDAHO FALLS,ID,13D2315547
ST LUKE'S HOME BASED SERVICES,stlukesonline.org,MERIDIAN,ID,13D2315585
DEERFIELD DERMATOLOGY ASS,deerfielddermatology.com,DEERFIELD,IL,14D0412127
CHICAGO DEPT OF PUBLIC HLTH - AUSTIN STI CLINIC,chicago.gov,CHICAGO,IL,14D0646583
ILLINOIS DEPARTMENT OF PUBLIC HEALTH LABORATORY,dph.illinois.gov,CARBONDALE,IL,14D0647032
"CSL PLASMA, INC",cslplasma.com,DAVENPORT,IA,14D0664914
ILLINOIS DEPARTMENT OF PUBLIC HEALTH -CHICAGO,dph.illinois.gov,CHICAGO,IL,14D0691828
MEDSTAR LABORATORY INC,medstarlab.com,HILLSIDE,IL,14D0945905
SEMANS DERMATOPATHOLOGY SERVICE,centercare.com,ROCHESTER,IL,14D0982952
"MEDICAL ASSAY LABORATORY, INC",medassay.com,DARIEN,IL,14D1044662
"CSL PLASMA, INC",cslplasma.com,MELROSE PARK,IL,14D1049824
LABORATORY CORPORATION OF AMERICA,locations.labcorp.com,CHICAGO,IL,14D1054938
ACL CAC LAB,advocatehealth.com,PARK RIDGE,IL,14D1103190
QUALITY LAB ONE,qualitylabone.com,CHICAGO,IL,14D2006925
LAB EXPRESS CORPORATION,labexpresscorp.com,OAK LAWN,IL,14D2042184
QUEST DIAGNOSTICS - FAIRFIELD COMMUNITY HEALTH,questdiagnostics.com,FAIRFIELD,IL,14D2044263
"CITILABS, INC",citilabsinc.com,CHICAGO,IL,14D2056591
"SPIRIPLEX, INC",spiriplex.com,LINCOLNSHIRE,IL,14D2063316
M I LAB,industrynet.com,LOMBARD,IL,14D2064071
"CSL PLASMA, INC",cslplasma.com,HAZEL CREST,IL,14D2076443
MIDWEST CTR FOR WOMENS HEALTHCARE LAB,mcwhc.com,LIBERTYVILLE,IL,14D2093116
HISTOLOGY CORP,sourcemp.com,LAKE BLUFF,IL,14D2101871
VIOS FERTILITY INSTITUTE CHICAGO WICKER PARK,viosfertility.com,CHICAGO,IL,14D2118892
"CSL PLASMA, INC",cslplasma.com,ROCKFORD,IL,14D2134446
BIOLIFE PLASMA SERVICES,biolifeplasma.com,BOLINGBROOK,IL,14D2143383
"CSL PLASMA, INC",cslplasma.com,JOLIET,IL,14D2148148
"HEART TEAM, LLC, THE",heartteamllc.com,ELGIN,IL,14D2160986
VIOS FERTILITY INSTITUTE-HOFFMAN ESTATES,kindbody.com,HOFFMAN ESTATES,IL,14D2164765
BIOLIFE PLASMA SERVICES LP,biolifeplasma.com,VILLA PARK,IL,14D2170901
BIOLIFE PLASMA SERVICES L P,biolifeplasma.com,ADDISON,IL,14D2173717
BIOLIFE PLASMA SERVICES L P,biolifeplasma.com,HARWOOD HEIGHTS,IL,14D2189505
R & R CLINICAL LAB INC,rrclinicallab.com,NAPERVILLE,IL,14D2209968
NEELYX LABS,neelyx.com,WOOD DALE,IL,14D2209971
BIOLIFE PLASMA SERVICES LP,biolifeplasma.com,JOLIET,IL,14D2224869
