src_name,src_domain,src_clia,persona,apollo_id,contact_name,contact_first_name,contact_email,contact_title,contact_linkedin_url,contact_phone
"BIOLIFE PLASMA SERVICES, LP",biolifeplasma.com,45D2275843,medical_director,60af71849c5f7c00013a33a5,Charolette Ja***n,Charolette,(require direct fetch),Medical Director,,(require direct fetch)
"ACIES TX, LLC",acies.consulting,45D2277321,ceo_owner,5c4eaef2f65125b8c841a7f0,Saloni Ch***n,Saloni,(require direct fetch),CEO’s Office,,(require direct fetch)
"SAGIS, PLLC",sagisdx.com,45D2286014,ceo_owner,6795f03784418d00010ccd79,John Ca***i,John,(require direct fetch),Co-Founder/Chairman,,(require direct fetch)
PATHOLOGY REFERENCE LABORATORY WEST,pathreflab.com,45D2286097,ceo_owner,66f6de85d8bffa0001830933,Jeanette Gr***y,Jeanette,(require direct fetch),"Vice President, Revenue & Payer Relations",,(require direct fetch)
ABDA LABS LLC,abdalabs.com,45D2301956,ceo_owner,67074ff3ab69f10001a5fe43,Cameron Re***k,Cameron,(require direct fetch),Vice President of Clinical Relations,,(require direct fetch)
LUCIDDX LABS,luciddx.com,45D2310485,ceo_owner,54a51e207468693209c1f97d,John Ru***o,John,(require direct fetch),Senior Vice President of Sales,,(require direct fetch)
VRL SAN ANTONIO LLC,vrlsat.com,45D2312303,ceo_owner,66ff84af93a365000133fd68,Ron Be***r,Ron,(require direct fetch),CEO,,(require direct fetch)
VRL SAN ANTONIO LLC,vrlsat.com,45D2312303,lab_director,5b8d98f6f874f73059cbdcdc,Jon Mo***l,Jon,(require direct fetch),Director of Operations,,(require direct fetch)
PATHOLOGY ASSOCIATES OF SAN ANTONIO,pathology-associates.com,45D2319885,medical_director,5ea42b3e45486b0001c63514,Daniel Co***z,Daniel,(require direct fetch),Medical Director and Staff Pathologist,,(require direct fetch)
WOMEN'S & MEN'S HEALTH SERVICES OF THE COASTAL,wamhs.org,45D2333663,medical_director,660a3a8c9fa9910007abaf82,Mary Ara,Mary,(require direct fetch),Medical Director,,
SKIN PATHOLOGY CONSULTANTS OF UTAH PC,merchantcircle.com,46D0523887,ceo_owner,66f6d7b6ec0c8e00013f8aba,Bob La***a,Bob,(require direct fetch),Owner Civil Structural Professional Engineer,,(require direct fetch)
CSL PLASMA INC - SALT LAKE CITY,cslplasma.com,46D0862929,lab_director,61083d471df82d0001b52c6d,Jose Pi***a,Jose,(require direct fetch),Associate Director of Operations & Quality,,(require direct fetch)
INTERMOUNTAIN HEALTH LIFE FLIGHT,intermountainhealthcare.org,46D0959710,ceo_owner,54a7cff0746869622084c452,Gregg Mo***s,Gregg,(require direct fetch),"Regional Vice President, Marketing and Communications - Peaks Region",,(require direct fetch)
INTERMOUNTAIN HEALTH LIFE FLIGHT,intermountainhealthcare.org,46D0959710,medical_director,603d60b2cb595b0001a82b90,Farukh Us***i,Farukh,(require direct fetch),"Medical Director, Care Transformation",,(require direct fetch)
BIOLIFE PLASMA SERVICES LP,biolifeplasma.com,46D1083126,lab_director,66a9cb734a86f40001e36c62,Crystal Mo***r,Crystal,(require direct fetch),Lab Director/Center Physician,,
BIOLIFE PLASMA SERVICES LP,biolifeplasma.com,46D1083126,medical_director,60af71849c5f7c00013a33a5,Charolette Ja***n,Charolette,(require direct fetch),Medical Director,,(require direct fetch)
"BIOLIFE PLASMA SERVICES, LP",biolifeplasma.com,46D2084284,lab_director,66a9cb734a86f40001e36c62,Crystal Mo***r,Crystal,(require direct fetch),Lab Director/Center Physician,,
"BIOLIFE PLASMA SERVICES, LP",biolifeplasma.com,46D2084284,medical_director,60af71849c5f7c00013a33a5,Charolette Ja***n,Charolette,(require direct fetch),Medical Director,,(require direct fetch)
BIOLIFE PLASMA SERVICES LP,biolifeplasma.com,46D2100376,lab_director,66a9cb734a86f40001e36c62,Crystal Mo***r,Crystal,(require direct fetch),Lab Director/Center Physician,,
BIOLIFE PLASMA SERVICES LP,biolifeplasma.com,46D2100376,medical_director,60af71849c5f7c00013a33a5,Charolette Ja***n,Charolette,(require direct fetch),Medical Director,,(require direct fetch)
BIOLIFE PLASMA SERVICES LP,biolifeplasma.com,46D2102388,lab_director,66a9cb734a86f40001e36c62,Crystal Mo***r,Crystal,(require direct fetch),Lab Director/Center Physician,,
BIOLIFE PLASMA SERVICES LP,biolifeplasma.com,46D2102388,medical_director,60af71849c5f7c00013a33a5,Charolette Ja***n,Charolette,(require direct fetch),Medical Director,,(require direct fetch)
CLINICAL CONSULTANTS LLC,clinicalconsultants.org,46D2173983,ceo_owner,5b561b64060cd45e9db9f313,Craig Br***d,Craig,(require direct fetch),President,,(require direct fetch)
"INHERENT BIOSCIENCES, INC",inherentbio.com,46D2239162,ceo_owner,66f546a695fd6e000199c660,Kristin Br***d,Kristin,(require direct fetch),"Co-Founder, CSO",,(require direct fetch)
BIOLIFE PLASMA SERVICES LP,biolifeplasma.com,46D2239239,lab_director,66a9cb734a86f40001e36c62,Crystal Mo***r,Crystal,(require direct fetch),Lab Director/Center Physician,,
BIOLIFE PLASMA SERVICES LP,biolifeplasma.com,46D2239239,medical_director,60af71849c5f7c00013a33a5,Charolette Ja***n,Charolette,(require direct fetch),Medical Director,,(require direct fetch)
ASSOCIATES OF PATHOLOGY,associatesofpathology.com,46D2270825,medical_director,5b30302fa6da98ebcc92aaa4,Mark Or***n,Mark,(require direct fetch),Medical Director,,
AEROMD,aeromd.com,48D2122646,ceo_owner,66f7cf4c152ddf000130a49e,Allan Ad***r,Allan,(require direct fetch),Vice President of Business Development,,(require direct fetch)
AEROMD,aeromd.com,48D2122646,medical_director,66fda8da7a4c220001ec0e63,Keith Ko***s,Keith,(require direct fetch),Pediatric Transport Medical Director,,(require direct fetch)
PATIENT FIRST-BATTLEFIELD,patientfirst.com,49D0665313,ceo_owner,60ce88bfcf463d00010f7559,Byron Fi***r,Byron,(require direct fetch),Vice President Human Resources,,(require direct fetch)
PATIENT FIRST-BATTLEFIELD,patientfirst.com,49D0665313,medical_director,6053f0c8daf77b0001387a64,Mark Pa***r,Mark,(require direct fetch),Medical Director,,(require direct fetch)
LIFENET HEALTH,lifenethealth.org,49D0883917,ceo_owner,61b73e9b92e911000123c7e4,Ehab Es***l,Ehab,(require direct fetch),"Vice President, Global Regulatory, Quality, and Clinical",,(require direct fetch)
